LoanID,CustomerID,BranchID,LoanAmount,LoanType,Rate,LoanTerm,ApprovalRejectionDate,LoanStatus
86,86,26,18247.52,Personal,2.94,24,8/3/2020,Rejected
87,87,90,14002.39,Mortgage,1.47,12,11/24/2021,Approved
88,88,49,19750.58,Personal,5.98,12,9/8/2020,Approved
89,89,84,7929.32,Auto,9.90,48,8/30/2020,Approved
90,90,44,14711.10,Personal,4.80,36,8/19/2020,Approved
91,91,43,37643.08,Mortgage,5.97,60,1/21/2020,Closed
92,92,49,17858.28,Mortgage,2.98,36,7/20/2021,Approved
93,93,52,11183.91,Mortgage,2.84,60,7/4/2022,Approved
94,94,71,6313.76,Auto,3.96,48,9/4/2022,Rejected
95,95,32,18052.20,Mortgage,8.52,48,6/18/2021,Closed
96,96,55,32527.05,Mortgage,9.65,36,9/5/2022,Rejected
97,97,18,13411.94,Personal,7.66,48,9/22/2020,Approved
98,98,86,21699.84,Mortgage,1.19,48,10/18/2022,Approved
99,99,59,47667.53,Personal,4.95,12,5/12/2021,Rejected
100,100,29,28065.78,Auto,4.79,48,8/1/2022,Rejected
101,101,32,27064.99,Mortgage,9.42,24,5/18/2022,Approved
102,102,54,21087.22,Auto,7.71,48,2/3/2020,Rejected
103,103,84,28285.16,Mortgage,7.43,60,3/20/2021,Approved
104,104,31,49243.80,Mortgage,6.08,36,12/29/2020,Approved
105,105,43,13436.54,Mortgage,6.81,60,3/4/2020,Closed
106,106,41,47154.47,Personal,7.29,12,11/10/2021,Rejected
107,107,8,8304.48,Personal,5.97,48,12/3/2022,Closed
108,108,43,6444.16,Personal,8.60,24,4/20/2020,Approved
109,109,51,33078.81,Mortgage,1.33,12,9/1/2022,Closed
110,110,8,13307.77,Mortgage,9.47,36,7/6/2022,Closed
111,111,9,22775.22,Mortgage,7.96,48,10/24/2020,Approved
112,112,78,36753.08,Personal,5.76,36,6/2/2021,Approved
113,113,46,27207.23,Personal,8.74,12,8/31/2020,Closed
114,114,33,1673.72,Auto,8.45,24,6/14/2022,Closed
115,115,58,15986.32,Personal,4.77,36,7/4/2020,Rejected
116,116,79,4169.65,Auto,8.56,48,11/25/2021,Closed
117,117,94,46379.61,Auto,2.70,60,3/28/2022,Rejected
118,118,94,39937.78,Personal,5.22,60,11/16/2021,Closed
119,119,31,49208.24,Mortgage,3.09,36,6/19/2020,Rejected
120,120,69,44370.37,Personal,2.12,24,9/28/2021,Closed
121,121,83,24291.27,Auto,9.05,12,3/8/2021,Approved
122,122,48,44247.28,Mortgage,4.30,48,4/11/2020,Approved
123,123,11,33949.49,Personal,7.16,36,5/19/2022,Closed
124,124,74,26705.38,Mortgage,4.38,48,12/24/2021,Closed
125,125,33,19161.66,Auto,5.90,24,11/9/2021,Closed
126,126,61,34367.34,Personal,4.13,60,1/24/2021,Approved
127,127,88,29916.54,Mortgage,7.68,12,3/19/2020,Closed
128,128,15,31095.06,Auto,8.08,60,3/22/2020,Approved
129,129,29,20591.74,Personal,4.87,12,8/22/2020,Closed
130,130,27,37226.44,Personal,8.74,60,7/7/2022,Closed
131,131,20,4985.80,Mortgage,4.20,36,8/8/2020,Closed
132,132,36,36581.79,Mortgage,7.86,24,8/4/2020,Approved
133,133,14,36807.30,Mortgage,6.85,60,12/24/2021,Rejected
134,134,37,26281.23,Personal,5.10,24,4/13/2020,Closed
135,135,88,13900.87,Mortgage,9.00,60,12/6/2021,Approved
136,136,49,26444.55,Mortgage,6.15,48,3/26/2022,Closed
137,137,36,7031.22,Mortgage,8.56,60,3/8/2021,Approved
138,138,58,14972.04,Personal,7.60,12,11/12/2021,Approved
139,139,93,21643.69,Personal,5.79,48,9/11/2021,Rejected
140,140,15,33988.46,Auto,3.94,36,5/1/2022,Closed
141,141,39,10173.62,Personal,9.56,36,12/1/2021,Closed
142,142,5,8750.37,Personal,1.51,36,10/8/2020,Approved
143,143,97,30782.02,Mortgage,9.05,24,2/28/2020,Closed
144,144,45,34297.73,Mortgage,5.56,36,5/3/2021,Rejected
145,145,1,5099.13,Personal,7.74,60,8/2/2020,Closed
146,146,47,2625.00,Personal,4.01,48,4/12/2020,Approved
147,147,34,8210.34,Mortgage,4.46,12,10/11/2021,Approved
148,148,8,45150.31,Mortgage,2.72,36,4/14/2021,Approved
149,149,88,33959.29,Mortgage,9.59,12,10/8/2020,Closed
150,150,54,46130.27,Auto,1.39,24,11/22/2020,Approved
151,151,87,33571.03,Mortgage,4.48,24,3/20/2021,Approved
152,152,60,48296.62,Auto,4.01,12,3/21/2021,Closed
153,153,77,22506.43,Personal,8.32,60,1/30/2022,Closed
154,154,37,30355.85,Mortgage,5.51,12,6/13/2022,Approved
155,155,46,30458.09,Auto,2.52,48,3/3/2021,Approved
156,156,18,1153.86,Mortgage,5.58,36,7/7/2021,Approved
157,157,10,2345.27,Mortgage,3.12,60,8/28/2022,Approved
158,158,68,8118.00,Personal,1.15,12,4/23/2022,Rejected
159,159,71,26045.35,Auto,5.90,48,2/23/2021,Rejected
160,160,86,22095.80,Auto,4.24,12,6/24/2022,Approved
161,161,76,27447.70,Mortgage,3.15,36,12/22/2020,Closed
162,162,24,40224.05,Personal,2.55,24,1/18/2022,Closed
163,163,47,41289.77,Personal,5.08,12,12/28/2020,Rejected
164,164,37,48873.73,Personal,8.83,48,6/17/2020,Rejected
165,165,72,28319.84,Mortgage,7.82,12,4/23/2021,Rejected
166,166,84,18013.56,Personal,1.04,36,5/10/2020,Closed
167,167,43,16093.36,Personal,7.58,48,9/23/2021,Rejected
168,168,82,17696.34,Personal,1.65,24,7/13/2021,Closed
169,169,25,16867.65,Auto,5.93,36,6/24/2020,Closed
170,170,87,20253.08,Personal,8.02,12,12/8/2022,Rejected
171,171,18,4669.19,Personal,5.08,60,2/26/2021,Approved
172,172,51,32038.19,Mortgage,4.39,12,5/19/2021,Approved
173,173,46,28834.02,Auto,9.46,24,2/1/2022,Closed
174,174,75,23636.08,Personal,1.26,12,8/29/2022,Closed
175,175,59,4974.16,Personal,1.95,60,7/23/2021,Rejected
176,176,39,5567.23,Auto,8.83,24,5/23/2020,Approved
177,177,78,27710.15,Auto,8.98,24,7/13/2022,Rejected
178,178,86,2792.44,Personal,4.35,12,12/5/2021,Approved
179,179,38,36514.66,Auto,5.86,36,8/26/2021,Closed
180,180,55,49695.13,Personal,2.48,24,10/27/2020,Rejected
181,181,79,30272.94,Auto,8.96,48,5/15/2022,Closed
182,182,5,36448.14,Personal,5.22,24,4/27/2022,Rejected
183,183,5,22507.86,Auto,6.08,48,1/27/2022,Rejected
184,184,50,33703.20,Personal,2.06,36,5/7/2022,Closed
185,185,42,32937.24,Auto,6.53,60,10/4/2020,Closed
186,186,19,41380.45,Auto,7.26,48,5/5/2022,Rejected
187,187,34,35855.64,Personal,3.65,48,3/5/2020,Approved
188,188,53,37703.43,Mortgage,9.07,60,6/16/2022,Rejected
189,189,80,28275.16,Auto,2.84,24,2/23/2022,Closed
190,190,21,24741.23,Personal,9.08,48,1/1/2022,Closed
191,191,45,23477.11,Mortgage,7.33,48,10/9/2022,Rejected
192,192,96,20208.54,Mortgage,8.48,60,9/16/2022,Closed
193,193,60,14035.36,Personal,7.29,24,3/25/2022,Rejected
194,194,53,2632.24,Auto,4.86,12,9/8/2020,Rejected
195,195,19,33883.69,Personal,3.98,48,6/28/2022,Closed
196,196,88,45147.10,Auto,7.61,36,6/5/2020,Rejected
197,197,35,46593.64,Mortgage,3.68,60,2/8/2022,Closed
198,198,82,29447.52,Auto,1.56,48,10/31/2022,Rejected
199,199,14,5612.69,Personal,3.22,24,6/27/2021,Approved
200,200,86,44054.55,Personal,7.80,36,1/20/2022,Rejected
201,201,94,37639.50,Mortgage,8.14,12,8/7/2021,Closed
202,202,12,13319.14,Personal,3.49,36,9/30/2022,Approved
203,203,49,40373.70,Auto,3.95,48,12/6/2022,Closed
204,204,76,24128.39,Personal,5.94,36,2/15/2022,Approved
205,205,94,44492.06,Personal,3.36,12,4/19/2021,Rejected
206,206,3,13132.94,Personal,6.46,24,7/4/2020,Approved
207,207,96,40244.39,Auto,3.54,12,1/7/2022,Closed
208,208,27,35883.61,Auto,2.09,12,3/5/2021,Rejected
209,209,92,1707.62,Mortgage,2.39,60,4/14/2020,Approved
210,210,82,28603.40,Auto,3.25,60,1/4/2022,Approved
211,211,25,36061.18,Personal,2.51,12,8/24/2020,Rejected
212,212,15,8664.13,Personal,9.77,36,1/9/2021,Closed
213,213,27,27063.05,Auto,6.93,36,4/17/2021,Rejected
214,214,15,15899.82,Auto,2.61,12,5/29/2020,Rejected
215,215,30,35116.39,Mortgage,4.82,36,4/5/2022,Closed
216,216,75,27466.85,Auto,3.42,24,6/3/2021,Approved
217,217,59,31451.44,Mortgage,7.16,36,6/25/2022,Approved
218,218,45,4554.45,Mortgage,8.81,36,8/8/2020,Rejected
219,219,53,7751.96,Auto,4.61,12,9/9/2022,Closed
220,220,78,28052.37,Mortgage,4.86,36,11/9/2022,Approved
221,221,45,9877.47,Mortgage,4.59,36,1/6/2021,Approved
222,222,92,25435.87,Personal,5.04,60,6/24/2020,Rejected
223,223,72,34811.44,Personal,1.32,60,2/15/2020,Rejected
224,224,61,40678.81,Personal,6.33,36,5/3/2020,Approved
225,225,11,8007.33,Auto,9.57,36,10/8/2020,Closed
226,226,78,37352.06,Personal,8.07,12,1/16/2020,Closed
227,227,51,18796.12,Mortgage,8.75,24,8/22/2021,Rejected
228,228,86,34267.72,Personal,3.06,60,9/7/2020,Closed
229,229,89,8118.95,Personal,6.46,48,12/16/2022,Closed
230,230,74,26243.58,Auto,9.04,36,8/30/2020,Rejected
231,231,39,42040.55,Auto,1.62,48,12/1/2022,Approved
232,232,24,6215.14,Auto,8.90,12,7/19/2021,Approved
233,233,6,41556.36,Auto,1.58,48,5/5/2022,Rejected
234,234,33,23185.65,Personal,9.85,24,4/7/2021,Closed
235,235,22,41340.31,Mortgage,1.76,24,2/21/2020,Rejected
236,236,60,47961.00,Mortgage,4.31,12,8/27/2020,Approved
237,237,20,8822.98,Personal,1.49,60,11/9/2022,Rejected
238,238,11,34053.91,Mortgage,1.51,36,5/1/2020,Rejected
239,239,35,12519.73,Mortgage,8.80,48,1/23/2021,Approved
240,240,35,7642.16,Personal,1.57,12,10/22/2020,Rejected
241,241,65,31776.05,Auto,8.13,24,3/15/2020,Rejected
242,242,90,6291.20,Personal,9.16,24,4/26/2021,Approved
243,243,78,23793.46,Auto,9.42,12,4/4/2022,Closed
244,244,49,32161.76,Mortgage,8.78,12,8/25/2022,Rejected
245,245,66,25481.91,Auto,9.60,12,2/9/2020,Closed
246,246,46,35156.39,Auto,1.47,48,8/16/2022,Closed
247,247,5,40269.19,Mortgage,9.97,24,11/29/2022,Closed
248,248,39,43740.07,Auto,1.18,12,5/28/2020,Closed
249,249,79,28433.74,Mortgage,2.50,36,10/8/2022,Rejected
250,250,85,14554.89,Mortgage,1.73,12,12/6/2021,Approved
251,251,93,25973.43,Personal,7.70,12,9/5/2020,Rejected
252,252,51,19996.74,Personal,1.78,48,5/21/2020,Closed
253,253,21,12070.35,Personal,3.63,60,8/29/2022,Closed
254,254,38,26924.30,Mortgage,6.74,24,9/4/2021,Rejected
255,255,36,2110.09,Auto,5.48,12,3/9/2022,Closed
256,256,14,30672.68,Auto,2.23,48,1/29/2020,Closed
257,257,33,41258.59,Personal,5.69,60,4/3/2021,Rejected
258,258,23,49972.35,Personal,4.07,60,8/9/2022,Rejected
259,259,72,46162.27,Personal,6.27,60,4/21/2020,Approved
260,260,84,5400.98,Mortgage,5.85,12,6/13/2021,Closed
261,261,38,8959.04,Mortgage,9.91,12,10/14/2022,Closed
262,262,47,7793.59,Personal,8.77,48,1/16/2021,Rejected
263,263,64,28359.23,Mortgage,1.03,24,7/26/2021,Rejected
264,264,47,3250.86,Personal,2.58,48,8/23/2022,Closed
265,265,1,46912.64,Auto,9.22,60,4/23/2022,Rejected
266,266,42,4030.00,Mortgage,5.86,36,8/8/2021,Rejected
267,267,68,20171.28,Mortgage,7.84,24,3/6/2020,Rejected
268,268,78,44804.52,Mortgage,5.53,48,10/27/2020,Closed
269,269,86,47470.54,Mortgage,8.07,24,7/25/2022,Closed
270,270,76,23799.25,Auto,2.19,36,6/6/2020,Approved
271,271,25,24933.15,Auto,7.64,60,9/13/2022,Approved
272,272,57,32172.68,Mortgage,8.83,48,4/5/2021,Approved
273,273,52,20974.30,Auto,3.39,24,2/19/2021,Approved
274,274,7,16908.40,Personal,4.32,24,4/12/2021,Closed
275,275,7,37231.92,Auto,6.32,12,6/28/2022,Rejected
276,276,56,30172.56,Personal,8.81,60,8/11/2021,Closed
277,277,39,24601.88,Mortgage,9.17,48,1/16/2021,Closed
278,278,70,5938.58,Personal,5.81,60,12/7/2022,Closed
279,279,83,4374.22,Personal,6.92,12,7/6/2020,Approved
280,280,58,26029.95,Auto,8.86,36,10/29/2020,Rejected
281,281,23,31352.15,Mortgage,3.08,60,5/17/2020,Rejected
282,282,10,33218.07,Auto,8.43,12,7/11/2021,Closed
283,283,72,44849.62,Auto,3.36,36,11/25/2020,Approved
284,284,36,40995.02,Mortgage,6.23,60,12/3/2020,Closed
285,285,71,7897.35,Mortgage,9.41,36,11/20/2021,Rejected
286,286,3,39927.12,Auto,5.60,48,5/31/2022,Rejected
287,287,72,34138.85,Auto,1.84,24,1/29/2021,Closed
288,288,77,41573.42,Personal,9.06,36,10/31/2022,Rejected
289,289,95,42324.38,Personal,6.26,24,6/6/2020,Approved
290,290,13,17931.10,Auto,1.64,48,11/22/2021,Rejected
291,291,90,13900.17,Auto,1.09,36,11/4/2022,Closed
292,292,48,28079.07,Auto,3.35,24,6/23/2021,Rejected
293,293,66,15631.78,Auto,2.08,36,7/9/2020,Closed
294,294,3,18134.58,Auto,6.66,12,12/17/2022,Closed
295,295,63,4388.84,Mortgage,6.37,36,11/15/2021,Approved
296,296,15,49576.82,Auto,8.57,36,9/7/2020,Closed
297,297,2,16155.55,Auto,5.62,60,9/8/2022,Closed
298,298,61,39223.59,Personal,3.28,60,2/15/2020,Rejected
299,299,59,49664.76,Mortgage,1.45,48,11/4/2020,Rejected
300,300,17,48487.17,Personal,1.09,48,6/25/2021,Rejected
301,301,11,32060.27,Auto,9.33,48,1/22/2021,Approved
302,302,5,27394.41,Auto,2.30,24,10/16/2022,Approved
303,303,70,16154.55,Auto,5.49,48,7/17/2022,Rejected
304,304,67,43213.83,Auto,8.15,48,4/6/2021,Approved
305,305,23,17561.76,Auto,9.36,60,9/24/2021,Rejected
306,306,96,6229.47,Mortgage,2.82,36,4/5/2022,Approved
307,307,63,15410.82,Mortgage,3.09,48,12/13/2020,Closed
308,308,4,16439.77,Mortgage,2.62,48,7/21/2020,Rejected
309,309,29,36205.78,Mortgage,2.43,36,5/26/2020,Rejected
310,310,17,9307.56,Mortgage,5.09,60,8/27/2021,Approved
311,311,95,16526.30,Personal,6.72,60,1/10/2021,Approved
312,312,35,4752.73,Personal,7.36,36,9/17/2021,Closed
313,313,48,42571.66,Mortgage,3.94,60,2/13/2020,Approved
314,314,85,36514.00,Auto,6.61,60,8/17/2020,Rejected
315,315,87,22436.86,Auto,1.02,12,8/7/2021,Closed
316,316,48,22070.75,Auto,8.99,24,4/14/2022,Rejected
317,317,95,9152.22,Mortgage,8.83,36,5/15/2020,Approved
318,318,53,19839.18,Mortgage,5.90,24,3/31/2022,Rejected
319,319,65,45434.43,Auto,3.19,36,1/8/2020,Closed
320,320,75,7794.24,Personal,9.75,12,1/23/2022,Rejected
321,321,1,38486.39,Personal,8.30,36,8/11/2020,Approved
322,322,7,3311.62,Personal,1.15,36,1/14/2021,Rejected
323,323,77,16272.30,Personal,5.23,36,8/18/2022,Rejected
324,324,84,42499.94,Auto,1.92,12,5/24/2021,Closed
325,325,70,22804.20,Personal,2.19,60,7/11/2021,Approved
326,326,30,35432.01,Mortgage,1.01,48,2/13/2022,Closed
327,327,70,6073.55,Mortgage,7.19,24,4/25/2022,Closed
328,328,98,34487.86,Mortgage,3.27,24,12/7/2022,Closed
329,329,99,41132.01,Personal,3.74,24,3/22/2021,Approved
330,330,84,40457.05,Mortgage,1.42,48,12/1/2021,Rejected
331,331,38,22504.62,Mortgage,1.07,60,8/31/2021,Approved
332,332,30,45302.92,Mortgage,8.13,12,12/16/2021,Rejected
333,333,97,29173.77,Mortgage,6.95,36,7/25/2020,Closed
334,334,54,41075.72,Auto,4.44,36,9/21/2020,Rejected
335,335,88,11459.51,Personal,1.63,60,3/10/2020,Approved
336,336,95,11301.79,Personal,7.98,12,7/13/2020,Approved
337,337,16,37963.75,Personal,9.34,36,5/14/2021,Approved
338,338,16,32685.12,Auto,5.75,12,8/23/2020,Rejected
339,339,27,34139.18,Personal,2.25,60,6/28/2022,Rejected
340,340,22,12591.94,Auto,6.87,60,1/22/2022,Approved
341,341,15,20581.51,Mortgage,1.64,60,6/9/2021,Approved
342,342,46,13660.60,Auto,2.49,36,9/9/2022,Rejected
343,343,1,4338.17,Personal,5.24,12,5/17/2022,Closed
344,344,28,10993.12,Auto,3.24,24,1/23/2022,Approved
345,345,33,49763.05,Auto,9.37,24,3/30/2020,Rejected
346,346,15,12468.06,Mortgage,8.28,36,5/17/2020,Approved
347,347,95,8805.37,Auto,3.49,48,7/4/2021,Closed
348,348,57,35146.96,Auto,9.67,48,6/13/2021,Closed
349,349,70,30505.08,Auto,4.40,60,12/29/2022,Closed
350,350,68,37554.64,Auto,6.12,12,11/20/2020,Rejected
351,351,58,33029.98,Personal,6.08,24,4/1/2021,Closed
352,352,20,11926.68,Mortgage,6.85,60,7/3/2020,Approved
353,353,4,25544.40,Auto,3.19,36,2/16/2020,Closed
354,354,10,9655.50,Mortgage,9.30,48,8/14/2022,Approved
355,355,7,13423.36,Mortgage,3.39,36,1/26/2021,Approved
356,356,91,49358.96,Personal,6.98,12,4/2/2021,Approved
357,357,57,36705.32,Auto,7.89,12,5/24/2022,Approved
358,358,6,39359.67,Auto,8.93,12,5/2/2021,Approved
359,359,55,2472.90,Personal,5.11,48,9/13/2022,Closed
360,360,31,19724.56,Personal,7.41,48,12/8/2020,Rejected
361,361,64,28207.19,Personal,1.77,60,4/26/2020,Closed
362,362,36,8334.03,Mortgage,8.00,36,5/11/2021,Closed
363,363,91,42578.77,Auto,7.80,24,10/29/2020,Rejected
364,364,13,7840.41,Auto,4.70,24,9/20/2021,Closed
365,365,75,32188.77,Auto,3.82,24,8/1/2022,Rejected
366,366,73,28106.17,Personal,4.42,48,2/22/2020,Approved
367,367,72,42616.35,Mortgage,1.82,60,7/27/2020,Closed
368,368,61,16278.73,Mortgage,6.74,12,5/6/2022,Approved
369,369,10,14920.10,Personal,9.22,12,10/7/2021,Approved
370,370,66,42474.24,Auto,6.99,60,7/25/2021,Rejected
371,371,24,11848.89,Auto,6.22,48,9/15/2022,Closed
372,372,99,37556.03,Mortgage,9.92,24,9/3/2021,Approved
373,373,34,10366.15,Mortgage,5.88,36,3/13/2022,Approved
374,374,50,43909.08,Auto,4.11,48,1/30/2021,Approved
375,375,75,42114.11,Personal,7.34,24,7/29/2022,Rejected
376,376,1,39585.69,Personal,5.69,12,9/6/2020,Rejected
377,377,5,25082.09,Mortgage,9.75,60,9/2/2020,Approved
378,378,27,2658.12,Personal,9.08,60,1/26/2021,Closed
379,379,7,7490.79,Personal,9.52,24,1/26/2021,Rejected
380,380,1,23373.65,Auto,1.01,48,2/20/2022,Approved
381,381,32,3138.73,Auto,4.01,24,7/25/2022,Approved
382,382,17,4110.15,Personal,6.64,48,3/29/2021,Rejected
383,383,18,7149.69,Mortgage,3.77,12,5/22/2022,Approved
384,384,68,13781.49,Auto,6.91,60,2/9/2021,Closed
385,385,49,37716.82,Auto,7.43,48,8/18/2020,Rejected
386,386,13,3351.14,Auto,6.61,12,8/19/2020,Rejected
387,387,69,49198.33,Mortgage,5.12,36,1/9/2021,Closed
388,388,22,14417.65,Auto,7.27,24,4/10/2021,Approved
389,389,26,16689.69,Auto,8.02,48,10/17/2020,Rejected
390,390,68,13146.36,Personal,7.26,24,1/5/2021,Closed
391,391,87,30517.15,Mortgage,8.31,24,1/7/2021,Closed
392,392,5,1951.90,Personal,9.53,60,1/9/2022,Approved
393,393,9,5584.91,Personal,1.92,24,4/9/2021,Rejected
394,394,77,5840.09,Personal,9.16,36,12/28/2020,Rejected
395,395,62,33562.09,Personal,3.46,60,12/19/2020,Closed
396,396,73,17146.57,Personal,6.07,24,5/2/2021,Closed
397,397,68,22437.22,Personal,9.48,36,8/1/2022,Rejected
398,398,90,47548.69,Auto,6.58,48,8/15/2020,Approved
399,399,78,10802.10,Mortgage,1.76,12,9/1/2020,Approved
400,400,2,4439.64,Personal,5.49,36,3/23/2022,Approved
401,401,95,22629.74,Mortgage,9.05,48,8/30/2021,Closed
402,402,50,9039.59,Mortgage,4.71,48,1/8/2021,Closed
403,403,51,8088.20,Auto,8.63,48,12/3/2020,Approved
404,404,90,21096.47,Mortgage,8.15,12,10/15/2020,Rejected
405,405,2,33812.91,Mortgage,9.16,24,6/10/2021,Closed
406,406,41,12899.74,Mortgage,3.37,24,8/23/2020,Closed
407,407,64,43922.23,Mortgage,5.47,24,6/30/2021,Rejected
408,408,44,18759.95,Auto,4.02,36,2/27/2020,Closed
409,409,52,46768.36,Auto,5.81,12,3/2/2022,Closed
410,410,37,25127.37,Personal,1.17,60,6/7/2020,Approved
411,411,66,36610.16,Mortgage,3.18,12,2/1/2022,Approved
412,412,92,42601.83,Mortgage,9.77,60,2/1/2020,Rejected
413,413,56,26956.27,Auto,6.43,48,11/3/2021,Approved
414,414,23,42665.85,Auto,2.56,24,9/7/2021,Closed
415,415,71,19521.11,Auto,5.57,60,9/26/2021,Approved
416,416,39,18806.80,Mortgage,7.28,24,8/15/2020,Approved
417,417,86,39909.11,Auto,6.43,12,2/3/2022,Closed
418,418,60,12822.22,Mortgage,5.52,24,2/16/2020,Closed
419,419,56,36134.89,Auto,7.07,24,1/8/2020,Closed
420,420,36,4777.26,Mortgage,2.50,36,12/4/2020,Approved
